Question,achiever,active,adaptable,agile,ambitious,attentive,calm,caring,clever,confident,conformer,cooperative,copes-well,creative,dependable,devoted,discretion,dynamic,effort,energetic,focused,friendly,grateful,improviser,independent,logical,methodical,obedient,optimistic,organized,patient,pleased,practical,prioritizing,proactivity,problem-solving,scattered,shrewd,solver,sophisticated,sturdiness,task-oriented,wise
1,0.080678046,0.215109766,0.146237791,0.085733913,0.069208167,0.069945723,0.037714776,0.10204009,0.216572449,0.158371478,0.069579214,0.082316004,0.054651875,0.231979594,0.09153071,0.215886727,0.084215991,0.226491138,0.069719292,0.077903539,0.243623063,0.04214948,0.10900411,0.078489065,0.089884952,0.145722583,0.228187993,0.07491491,0.097386315,0.101216018,0.067994967,0.099606238,0.266999811,0.104480773,0.075421833,0.245341033,0.21378389,0.063606761,0.075241163,0.070485577,0.168520719,0.529922605,0.081800863
2,0.627316535,0.457680106,0.293278813,0.407006234,0.399087369,0.561050534,0.191382527,0.486488551,0.482921153,0.485677093,0.51951617,0.402097523,0.652603447,0.351353914,0.425685585,0.401684254,0.365131974,0.457233012,0.81235069,0.627155662,0.532575548,0.276744038,0.338281691,0.584754348,0.198229045,0.440677196,0.472089976,0.317890882,0.36748597,0.687055886,0.38687402,0.385889083,0.596401989,0.61784631,0.920935154,0.91145587,0.223087832,0.409733772,0.540158033,0.388743579,0.463672519,0.830672562,0.437800944
3,0.474610269,0.494966567,0.941990614,0.211321279,0.539130807,0.81372112,0.09799175,0.508986175,0.606512129,0.939886928,0.710359216,0.803070188,0.742176831,0.348557472,0.823272586,0.440774113,0.379529595,0.143207297,0.636846423,0.94556427,0.746815443,0.296434015,0.487407833,0.37296629,0.186055064,0.622101247,0.578875422,0.433912247,0.843398392,0.814986885,0.114276364,0.764037251,0.319538921,0.129783958,0.61146301,0.817547023,0.262650192,0.396920323,0.677454412,0.123203397,0.588200569,0.5121575,0.528955638
5,0.465787739,0.604447544,0.417883217,0.242590934,0.559507132,0.650981843,0.106955796,0.564496398,0.58792007,0.577516675,0.486786932,0.414455026,0.668870509,0.553611457,0.604183137,0.502570212,0.407879591,0.567986786,0.919528306,0.757439315,0.020312831,0.298383772,0.460289389,0.23878254,0.160474211,0.566365719,0.616857648,0.409368664,0.490155399,0.916501343,0.388363123,0.663227379,0.611015379,0.541914105,0.631436944,0.898215473,0.426967829,0.782801151,0.423462689,0.76017791,0.445847183,0.527788997,0.423566133
6,0.621837795,0.910975754,0.950428903,0.716623843,0.336633801,0.822668254,0.845096946,0.816512704,0.790288627,0.941401124,0.714845419,0.962868869,0.883208871,0.725603223,0.898931384,0.524062932,0.83343792,0.941816092,0.514819503,0.790175498,0.543599665,0.958760679,0.970353901,0.2942729,0.141470194,0.761551619,0.265986562,0.618083358,0.844805658,0.91992408,0.759160697,0.937468827,0.853089809,0.462053508,0.779690385,0.128161162,0.286398679,0.303823799,0.449811369,0.635565042,0.602152586,0.335495323,0.858658195
1,0.680542946,0.643712938,0.496370226,0.240761146,0.526368558,0.817059517,0.450551689,0.79489249,0.622359455,0.847066939,0.597673655,0.760365427,0.740049541,0.570904553,0.928728223,0.966376603,0.434530497,0.733863235,0.627090752,0.879465282,0.716315866,0.865674794,0.961776733,0.272185475,0.27194649,0.659355521,0.668231666,0.78793031,0.751946449,0.914154947,0.448276311,0.825865209,0.663178504,0.55844301,0.811406434,0.267161071,0.142268404,0.391525716,0.466120452,0.605077446,0.535418034,0.730672836,0.507931352
2,0.583670378,0.581489205,0.265731275,0.086363636,0.301793903,0.495074004,0.023142708,0.520312011,0.30226174,0.74324584,0.385295331,0.572643399,0.680955231,0.299430072,0.665075183,0.352039516,0.237327322,0.629156232,0.700942874,0.644254565,0.581895113,0.15652138,0.242804155,0.334372252,0.083847933,0.400146663,0.28291896,0.346915931,0.675356865,0.524896681,0.213502482,0.252252966,0.675034106,0.309346825,0.5630337,0.637178957,0.063780069,0.192705944,0.483080089,0.291871041,0.397508591,0.716068506,0.418741524
3,0.699711621,0.558943272,0.51423651,0.135129705,0.499110341,0.737951875,0.087653831,0.490480214,0.690425038,0.931334078,0.183983102,0.497804761,0.461611301,0.667821407,0.7898857,0.778702855,0.126074359,0.801565707,0.409403801,0.902997196,0.82227999,0.728447139,0.928374529,0.22674346,0.217626944,0.614408731,0.312401295,0.104993582,0.831205666,0.497092873,0.498489678,0.956456602,0.648129284,0.231368288,0.475897312,0.188220665,0.157971874,0.21971862,0.286994666,0.651044965,0.460128576,0.373473197,0.748029888
4,0.71166116,0.730186403,0.856009662,0.408293068,0.887143791,0.67255497,0.025735958,0.814588487,0.7514202,0.301584303,0.462804258,0.840322673,0.605717421,0.731851399,0.651484311,0.68201232,0.222441077,0.887458503,0.858886003,0.8050161,0.391939938,0.575386882,0.548668921,0.47588709,0.016846895,0.731256962,0.519899309,0.097301275,0.93632257,0.625025153,0.408214748,0.624361932,0.743891835,0.511523068,0.796021938,0.89714855,0.511994183,0.395242602,0.489206254,0.777884781,0.535479546,0.070431747,0.559912503
5,0.52637291,0.62378329,0.518414378,0.193569243,0.476079315,0.744264603,0.104499236,0.876688421,0.666052639,0.771826208,0.662991345,0.813836694,0.66689527,0.530435443,0.820391715,0.714228094,0.472337723,0.771865964,0.673140347,0.586599648,0.843815506,0.712162316,0.922666788,0.120870583,0.004586999,0.739364266,0.688107371,0.613115489,0.664593041,0.691435754,0.477859199,0.81826961,0.758907616,0.923377156,0.729081213,0.261786014,0.147554159,0.198872656,0.342856795,0.487842739,0.465536684,0.659825742,0.803864479
6,0.638798535,0.79222393,0.947255373,0.255671352,0.190900788,0.890667796,0.893030286,0.8618083,0.802727163,0.990586698,0.913114548,0.977540314,0.95463711,0.543150961,0.97893995,0.663041532,0.482426465,0.798356652,0.425458074,0.778985322,0.817413509,0.977600932,0.990949273,0.196843565,0.098122932,0.92095679,0.885961473,0.813540995,0.95093745,0.968206763,0.768639863,0.990577936,0.958592951,0.127910972,0.830051005,0.026816292,0.139854997,0.19959189,0.478420019,0.725984395,0.753639877,0.608474076,0.925571144
2,0.287189454,0.275161326,0.253696114,0.130521178,0.190420136,0.501202404,0.029973866,0.27602604,0.324273467,0.352271914,0.425910771,0.418044329,0.645263672,0.230721518,0.386401623,0.356269985,0.274734974,0.466073334,0.769332469,0.284728527,0.547523558,0.104017578,0.158455417,0.107389256,0.254787445,0.370927274,0.456600666,0.221874103,0.319371194,0.630999446,0.458200425,0.258049756,0.591044724,0.816816926,0.546393335,0.894366503,0.268421471,0.260912567,0.324137866,0.215652332,0.328437835,0.918176293,0.32638976
3,0.697298467,0.804328501,0.728543341,0.219791427,0.572158158,0.867269814,0.109912112,0.953931332,0.839815199,0.879874587,0.45326063,0.670892417,0.805846214,0.840480685,0.796762705,0.741610646,0.471882403,0.947290182,0.757294118,0.895701289,0.631006122,0.760723889,0.87901336,0.486523449,0.371507645,0.776565492,0.261898249,0.326458961,0.789880812,0.793878615,0.656362772,0.946765363,0.863820076,0.512765944,0.815444231,0.592144072,0.47235918,0.5435673,0.601357102,0.704882145,0.709035516,0.091905668,0.867887914
